avg_heart_rate,act_seconds,act_calories,avg_stress
77.91735537190083,7770,122,56
67.00498007968127,3280,60,28
71.54450625869264,12325,394,34
71.19033674963397,7705,339,33
72.6,60,0,46
82.86401202103681,17345,875,44
88.81481481481481,23844,716,66
84.26779163609685,24663,1134,37
91.18204488778056,14203,780,66
78.57898399443285,21439,928,38
63.25,360,0,19
72.2126582278481,11899,448,32
73.73827791986359,7345,445,31
87.10486891385767,6075,162,63
74.30313837375178,15685,406,35
77.14186046511628,17990,563,37
77.33725490196079,15420,741,36
74.12638888888888,14660,617,34
80.35227272727273,19592,616,46
71.12895569620254,14637,554,23
75.105580693816,13780,518,37
56.0,180,0,8
73.73827791986359,7345,445,31
87.10486891385767,6075,162,63
74.30313837375178,15685,406,35
77.14186046511628,17990,563,37
77.33725490196079,15420,741,36
74.12638888888888,14660,617,34
80.35227272727273,19592,616,46
71.12895569620254,14637,554,23
75.105580693816,13780,518,37
56.0,180,0,8
77.91735537190083,7770,122,56
67.00498007968127,3280,60,28
71.54450625869264,12325,394,34
71.19033674963397,7705,339,33
72.6,60,0,46
82.86401202103681,17345,875,44
88.81481481481481,23844,716,66
84.26779163609685,24663,1134,37
91.18204488778056,14203,780,66
78.57898399443285,21439,928,38
63.25,360,0,19
72.2126582278481,11899,448,32
73.73827791986359,7345,445,31
87.10486891385767,6075,162,63
74.30313837375178,15685,406,35
77.14186046511628,17990,563,37
77.33725490196079,15420,741,36
74.12638888888888,14660,617,34
80.35227272727273,19592,616,46
71.12895569620254,14637,554,23
75.105580693816,13780,518,37
56.0,180,0,8
77.91735537190083,7770,122,56
67.00498007968127,3280,60,28
71.54450625869264,12325,394,34
71.19033674963397,7705,339,33
72.6,60,0,46
82.86401202103681,17345,875,44
88.81481481481481,23844,716,66
84.26779163609685,24663,1134,37
91.18204488778055,14203,780,66
78.57898399443285,21439,928,38
63.25,360,0,19
72.2126582278481,11899,448,32
